24 ,24 ,24 ,24 ,24 ,24 ,24 ,98 ,83 ,83 ,44 ,50 ,119,97 ,122, 9 ,122,97 ,60 , 9 ,46 ,24 , 5 ,91 ,91 ,24 ,24 ,44 , 5 ,83 ,83 ,44 ,
24 ,24 ,24 ,24 ,24 ,24 ,24 ,98 ,98 ,98 ,44 ,102,60 ,122,122, 9 ,122,97 ,60 ,36 ,46 ,98 ,24 ,24 ,106, 0 , 8 , 5 ,98 ,83 ,98 ,24 ,
24 , 5 , 5 , 5 ,24 ,98 ,98 ,98 ,98 ,24 ,44 ,121,10 ,78 ,122,122,55 ,59 ,61 , 5 , 5 ,109,123,123,77 ,103,65 , 0 , 1 ,24 ,98 ,98 ,
24 ,98 , 5 ,98 ,98 ,98 ,98 ,98 , 5 , 5 ,24 ,24 ,24 , 5 ,102,47 , 5 ,98 ,24 ,24 ,24 , 9 ,122,122,122,122,47 ,109,119,74 ,44 , 1 ,
24 , 5 ,127,106,98 ,44 ,15 ,83 , 5 ,24 ,24 ,24 , 5 ,44 ,97 ,47 , 5 ,98 ,24 ,24 ,24 , 9 ,122,122,122,122,122,122,122,102,36 ,79 ,
77 , 1 ,103,47 ,15 ,47 ,122,47 ,49 , 8 , 5 ,24 ,24 ,24 ,122,90 ,65 ,24 ,24 ,24 ,24 , 9 ,122,122,122,122, 9 , 9 ,90 ,122,90 ,122,
36 , 1 ,102,122,36 ,122,122,122,111, 5 , 5 , 5 , 5 ,78 ,122,122,93 ,49 , 0 , 5 ,24 , 9 ,122,122,122,122,122,122,122,122,122,90 ,
44 ,24 ,70 ,97 , 9 , 9 , 9 ,122,49 ,36 , 1 ,24 , 5 ,43 ,90 , 9 ,90 ,36 , 1 ,44 ,44 , 9 ,122,122,122,122,122,122,122,122,122,122,
 9 , 9 ,47 ,44 ,34 ,97 ,97 ,97 , 9 , 9 ,122,122,36 ,46 , 8 ,44 ,122,122,77 ,103,67 ,44 ,35 ,102,83 ,62 ,98 ,24 ,24 ,92 ,77 , 9 ,
 9 ,15 , 9 ,44 ,44 ,97 ,97 ,122, 9 , 9 ,122,122,22 ,60 ,77 ,50 ,122,122,122,122,113,24 , 5 ,113, 0 ,83 ,98 ,24 , 5 ,102,122, 9 ,
49 ,83 ,98 ,24 ,24 , 5 ,70 ,97 ,122,122,122,122,122,47 ,109,85 ,90 , 9 ,122,122,93 ,24 ,24 , 5 ,83 ,83 ,98 , 5 ,44 ,97 , 9 ,122,
36 , 1 ,24 ,24 , 0 ,91 ,24 , 5 ,97 , 9 , 9 ,90 ,122,122,122,122,15 , 9 ,122,22 , 5 ,24 ,24 ,98 ,98 ,98 ,98 ,24 ,44 ,97 ,122,122,
55 , 5 ,24 ,24 ,91 ,74 ,24 ,78 ,97 ,122,122,122,90 ,122,97 ,122, 9 ,122,36 ,55 ,44 ,24 ,98 ,98 ,98 ,98 ,91 ,91 ,44 ,112,97 ,122,
 5 ,98 ,24 ,24 ,24 , 5 ,44 ,16 ,122,122,122,122,122,122,122,122,122,22 ,44 ,24 ,24 ,24 ,98 ,15 ,98 ,98 ,24 ,24 ,24 ,44 ,43 ,47 ,
65 ,98 ,24 ,24 ,24 ,24 ,44 ,57 ,122,122,122,122,122,122,122,122,122,49 , 1 ,24 ,24 ,122,15 ,90 ,98 ,98 ,91 ,91 ,98 ,24 ,112,122,
 9 ,24 ,24 ,24 ,24 ,91 ,44 ,102,122,122,122,122,122,122,122,122,122,34 ,83 ,24 ,24 ,36 ,15 ,90 ,83 ,106,24 , 5 ,67 ,24 ,102,90 ,
15 ,62 ,24 ,24 ,24 ,24 ,44 ,97 , 9 ,122,122, 9 ,47 ,122, 9 ,122, 9 , 9 ,62 ,98 ,24 ,97 , 9 ,15 ,15 ,12 ,44 , 1 ,107,78 ,97 ,122,
122,62 , 5 ,24 ,24 ,91 ,44 ,97 ,122,122,122, 9 ,122,122,122,97 , 9 , 9 ,15 ,98 ,98 ,97 , 9 , 9 ,122,122,97 ,109,102,97 ,122,122,
 9 ,24 ,24 ,24 ,24 ,24 ,24 ,122,122,122,122,122,122,122,122,122, 9 ,119,31 , 0 ,83 ,44 ,68 , 9 ,90 ,122,122,60 ,122,122,122, 9 ,
31 , 5 , 5 , 5 , 5 ,24 ,44 ,97 ,122,122,122,122,122,122,122,122,122,122,49 , 1 ,44 , 0 ,18 , 9 ,62 ,127,107,97 ,60 ,122,122,122,
24 ,24 , 5 ,24 ,24 ,24 ,44 ,97 ,122,122,122,122,122, 9 , 9 , 9 , 9 ,119,49 , 1 ,44 ,24 ,44 , 9 ,83 ,83 ,127,44 ,61 ,59 ,55 ,83 ,
24 ,24 ,24 ,24 ,24 ,24 ,24 ,122,122,122,122,122,122, 9 , 9 ,122,122,122,36 , 0 ,24 , 0 , 5 ,77 , 0 ,24 ,24 ,24 ,24 ,24 , 5 ,24 ,
24 ,24 ,24 ,24 ,24 ,24 ,44 ,97 ,122,122,122,122,122, 9 , 9 ,122,122,122,55 , 5 ,24 ,26 , 8 ,36 ,66 ,24 ,24 ,24 ,24 ,24 ,24 ,24 ,
91 ,91 ,91 ,24 ,24 ,24 ,44 ,112,97 ,122,122,122,122,122,122,97 , 9 ,47 , 5 ,24 ,24 ,92 ,119,109,91 ,24 ,91 , 0 ,24 ,24 ,24 ,91 ,
24 , 8 , 8 , 8 ,24 ,24 ,24 ,44 ,44 ,35 ,10 ,16 ,60 ,122,122,97 , 9 ,47 ,44 ,24 ,24 ,43 ,122,122,65 , 0 , 8 ,44 , 0 ,24 ,24 ,24 ,
24 ,24 ,24 ,24 ,24 ,24 ,98 ,83 ,98 ,83 , 5 ,44 ,10 ,97 ,122,122, 9 ,22 ,24 ,24 ,24 , 9 , 9 , 9 ,47 ,102,22 ,60 ,65 , 1 ,24 ,98 ,
24 ,24 ,91 ,91 ,91 ,24 ,83 ,18 ,98 ,24 ,98 ,98 ,24 ,44 ,35 ,10 ,90 ,47 ,77 , 1 ,24 ,122, 9 , 9 ,122,122,119,97 ,109,77 ,91 ,98 ,
24 ,24 ,24 ,24 ,24 ,24 ,83 ,90 ,113, 0 ,24 ,91 ,91 ,91 ,44 ,98 ,122,122,49 , 1 ,44 ,97 , 9 , 9 ,122,122,122,122,122,31 ,91 ,98 ,
 5 , 5 ,24 ,24 , 5 ,24 ,127,92 ,36 , 1 ,24 ,91 , 8 , 8 , 5 ,127, 9 ,119,31 ,46 ,24 ,10 ,122, 9 ,122,97 ,122,122,119,49 , 0 ,98 ,
24 , 5 , 5 ,24 ,24 ,24 ,98 ,44 ,91 ,24 ,24 ,91 ,74 , 5 ,127,74 , 9 ,119,93 ,33 , 1 ,24 ,68 ,122,97 ,97 ,97 ,122,122,36 , 0 ,98 ,
24 ,24 ,44 ,44 ,24 ,24 ,44 ,10 ,98 ,98 ,98 , 5 ,44 ,24 ,92 ,15 ,122,122,15 ,33 , 1 ,44 ,98 ,83 ,44 ,70 ,34 ,97 ,60 ,44 ,83 ,98 ,
 5 ,24 ,24 ,24 ,24 ,24 ,24 ,98 ,83 ,83 ,24 ,127, 1 ,119,43 , 9 , 9 ,122,111, 9 , 8 ,24 ,98 ,98 ,24 ,44 ,44 ,70 ,31 ,44 ,83 ,98 ,
